,artist_name,song_names,song_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2,Sam Smith,"Fire On Fire - From ""Watership Down""",86,0.476,0.584,246735,0.407,0,1,0.18,-7.356,0,0.046,115.124,4,0.341
3,Sam Smith,Too Good At Goodbyes,78,0.615,0.661,201000,0.373,0,5,0.177,-8.249,1,0.0505,91.5,4,0.523
4,Sam Smith,Stay With Me,82,0.588,0.418,172724,0.42,6.39e-05,0,0.11,-6.444,1,0.0414,84.094,4,0.184
5,Sam Smith,I'm Not The Only One,81,0.529,0.677,239317,0.485,2.04e-05,5,0.0766,-5.795,1,0.0361,82.001,4,0.493
6,Sam Smith,Lay Me Down,76,0.919,0.468,219536,0.19,0,4,0.107,-11.138,1,0.0373,125.319,4,0.326
7,Sam Smith,Have Yourself A Merry Little Christmas,73,0.953,0.399,170964,0.181,0,5,0.317,-9.409,1,0.0416,145.512,4,0.318
8,Sam Smith,Make It To Me,71,0.63,0.456,162732,0.379,3.1e-06,1,0.0983,-8.573,1,0.0685,149.967,4,0.225
9,Sam Smith,Like I Can,71,0.343,0.656,167066,0.627,2.17e-05,7,0.124,-6.627,0,0.0379,99.933,4,0.481
0,Maluma,Créeme,86,0.154,0.715,212493,0.872,0.000146,6,0.11,-3.501,1,0.0547,96.939,4,0.682
1,Maluma,Amigos Con Derechos,85,0.0481,0.686,227476,0.807,0,1,0.0652,-3.324,1,0.0613,183.971,4,0.63
2,Maluma,Mala Mía,84,0.31,0.749,183753,0.752,0,6,0.232,-4.883,1,0.345,180.049,4,0.901
3,Maluma,Mala Mía - Remix,80,0.1,0.697,207143,0.772,0,8,0.418,-5.028,0,0.309,180.046,4,0.858
4,Maluma,Clandestino,80,0.39,0.766,231921,0.822,3.37e-05,1,0.349,-4.126,0,0.16,165.842,4,0.881
5,Maluma,Felices los 4,78,0.213,0.766,230000,0.756,0,5,0.349,-5.861,1,0.132,94.027,4,0.716
6,Maluma,Corazón (feat. Nego do Borel),78,0.328,0.722,184720,0.738,1.47e-05,9,0.198,-6.073,0,0.247,198.075,4,0.748
