,artist_name,song_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Drake,84.0,0.111066,0.8156000000000001,210324.2,0.5399999999999999,0.01154705,6.1,0.21469999999999997,-8.1527,0.8,0.16585,112.75750000000001,4.0,0.48580000000000007
1,Post Malone,87.7,0.3141900000000001,0.6795,208573.3,0.5730999999999999,6.872e-06,6.6,0.12276000000000002,-6.4315000000000015,0.7,0.08226,129.4042,4.0,0.39080000000000004
2,XXXTENTACION,86.7,0.37951999999999997,0.7619999999999999,143202.9,0.5266,0.096017959,5.9,0.13824,-6.485199999999999,0.2,0.08515999999999999,119.2088,4.0,0.44630000000000003
3,J Balvin,80.0,0.11021,0.7208000000000001,202900.1,0.742,0.00034627,7.8,0.17843,-4.3638,0.3,0.15172999999999998,130.61910000000003,4.0,0.7058
4,Ed Sheeran,78.8,0.4505699999999999,0.6363000000000001,239625.8,0.4946,4.7539999999999995e-05,4.4,0.13907,-6.567300000000001,0.9,0.05186,102.24399999999999,3.7,0.4518
5,Eminem,80.5,0.090822,0.7982000000000001,276722.1,0.7237000000000001,6.47e-05,4.0,0.26831,-5.499099999999999,0.7,0.26458,132.8422,4.0,0.47149
6,Bad Bunny,83.7,0.34418,0.7501000000000001,250225.6,0.6341,0.000347787,5.8,0.13404999999999997,-5.9734,0.3,0.18155,126.2008,4.0,0.3721
7,Ozuna,83.4,0.22553999999999993,0.7609,212618.4,0.7704,1.0660999999999998e-05,6.1,0.16439,-3.964900000000001,0.5,0.14753,120.7225,4.0,0.7006
8,Khalid,83.8,0.36802,0.6298,202900.7,0.5464,0.03343095599999999,3.2,0.12445000000000002,-7.8850999999999996,0.5,0.12343000000000001,125.0019,4.0,0.2805
9,Kendrick Lamar,77.7,0.0454156,0.7637,209032.4,0.6361000000000001,3.0590000000000004e-05,5.0,0.13916,-6.1168,0.7,0.16801,119.33309999999999,4.0,0.48649999999999993
10,Travis Scott,81.3,0.087787,0.7247999999999999,238383.3,0.6952,1.5544999999999998e-05,5.8,0.1648,-4.5304,0.8,0.08314999999999999,143.42649999999998,4.0,0.34704000000000007
11,The Weeknd,76.0,0.16549700000000003,0.6328,237138.5,0.6221000000000001,0.000135805,2.5,0.13104,-6.7446,0.4,0.07815,118.8013,3.8,0.3483
12,Kanye West,76.1,0.1309434,0.6929,205710.5,0.6429,0.0,4.4,0.23598000000000002,-5.7712,0.4,0.21610000000000001,134.89049999999997,4.0,0.4181
13,David Guetta,67.9,0.11521899999999999,0.6474,198099.8,0.758,0.063955709,3.0,0.15574000000000002,-4.878,0.2,0.07199,117.41930000000002,4.0,0.42699999999999994
14,Marshmello,80.9,0.1422539,0.6629,202814.0,0.8238,0.086840496,6.0,0.20429,-3.4343000000000004,0.8,0.08825000000000001,130.714,4.0,0.4558000000000001
15,Shawn Mendes,78.9,0.24979,0.689,200694.7,0.6712,0.0,6.9,0.10497999999999999,-6.145999999999999,0.6,0.12721999999999997,114.98599999999999,4.0,0.6078
16,benny blanco,62.6,0.49590999999999996,0.5765,187894.7,0.5325900000000001,0.03868963,7.1,0.198,-7.698600000000001,0.6,0.10422999999999998,111.0406,4.3,0.4001799999999999
17,Daddy Yankee,79.1,0.24091999999999997,0.7552000000000001,226244.8,0.7930999999999999,6.3930000000000005e-06,3.9,0.20605999999999997,-4.1640999999999995,0.7,0.09675999999999998,120.10929999999999,4.0,0.724
18,Bruno Mars,77.9,0.14486099999999996,0.7308,218421.7,0.6445000000000001,7.240000000000001e-06,3.0,0.16455000000000003,-5.6216,0.6,0.05459000000000001,121.5574,4.0,0.5938000000000001
19,Future,78.4,0.0901374,0.7429,202466.8,0.5562,0.0304969,4.6,0.17740999999999998,-6.8667,0.9,0.21361,144.5407,4.0,0.41640000000000005
