,artist_name,song_names,song_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
391,Rae Sremmurd,Guatemala - From Swaecation,77,0.185,0.8490000000000001,256341,0.6990000000000001,0.00118,4,0.0954,-5.193,0,0.0574,100.98899999999999,4,0.0778
392,Rae Sremmurd,Black Beatles,76,0.142,0.794,291893,0.632,0.0,0,0.128,-6.162999999999999,1,0.0649,145.92600000000002,4,0.355
393,Rae Sremmurd,Swang,75,0.2,0.6809999999999999,208120,0.314,9.82e-06,8,0.1,-9.318999999999999,1,0.0581,139.99200000000002,4,0.166
394,Rae Sremmurd,Come Get Her,74,0.184,0.687,212947,0.563,0.0,2,0.0681,-6.2139999999999995,1,0.163,185.05599999999998,4,0.11199999999999999
395,Rae Sremmurd,No Type,74,0.013000000000000001,0.888,200080,0.483,4.85e-06,6,0.0926,-7.797000000000001,1,0.154,125.008,4,0.226
396,Rae Sremmurd,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),71,0.128,0.871,273087,0.552,0.0,4,0.272,-4.953,0,0.0509,141.97299999999998,4,0.27
397,Rae Sremmurd,This Could Be Us,70,0.275,0.718,206307,0.6920000000000001,0.0,5,0.11800000000000001,-5.06,0,0.14800000000000002,142.99200000000002,4,0.721
398,Rae Sremmurd,CLOSE (feat. Travis Scott) - From SR3MM,68,0.10400000000000001,0.691,193510,0.736,0.0,0,0.111,-4.993,1,0.0321,140.034,4,0.0395
399,Rae Sremmurd,Perplexing Pegasus - From SR3MM,67,0.000692,0.899,204787,0.44799999999999995,2.36e-05,1,0.365,-8.789,1,0.0738,145.975,4,0.302
400,Charlie Puth,Attention,81,0.109,0.775,208787,0.613,2.33e-05,3,0.134,-4.586,0,0.0542,100.066,4,0.797
401,Charlie Puth,See You Again (feat. Charlie Puth),78,0.369,0.6890000000000001,229526,0.48100000000000004,1.03e-06,10,0.0649,-7.502999999999999,1,0.0815,80.025,4,0.28300000000000003
402,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),70,0.621,0.728,217707,0.563,0.0,1,0.179,-8.052999999999999,0,0.134,100.01700000000001,4,0.35200000000000004
403,Charlie Puth,How Long,77,0.21100000000000002,0.845,200853,0.561,3.49e-06,1,0.0383,-5.252999999999999,0,0.0778,109.97399999999999,4,0.8109999999999999
404,Charlie Puth,The Way I Am,74,0.314,0.755,186080,0.769,2.38e-06,10,0.0628,-5.6579999999999995,0,0.18600000000000003,114.96600000000001,4,0.642
405,Charlie Puth,Done for Me (feat. Kehlani),74,0.193,0.856,180493,0.632,0.0,6,0.0688,-3.6919999999999997,0,0.07400000000000001,112.009,4,0.6970000000000001
406,Charlie Puth,Patient,73,0.752,0.675,190533,0.604,0.0,1,0.111,-6.266,1,0.193,168.03400000000002,4,0.456
407,Charlie Puth,Marvin Gaye (feat. Meghan Trainor),53,0.41700000000000004,0.795,190453,0.616,0.0,1,0.349,-5.281000000000001,0,0.06,110.015,4,0.815
